title,description,background,face,body,weapon,head,necklace,media,tags,rarity_score,rarity_rank
Ninja #1949,It's time.,Mountain,Gold Sword,Pink Ninja,Ghost Mask,Cat Earphones,Red Glow,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/1949.jpeg,[],31.66870566011702,1437.0
Ninja #4550,It's time.,Red,Red Sword,Grey Ninja,Pipe,Blue Headband,Cross Necklace,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/4550.jpeg,[],31.667913934798094,1438.0
Ninja #4679,It's time.,Lilac,Double Staff,Red Ninja,Nan,Straw Hat,Green Glow,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/4679.jpeg,[],31.667637857564014,1439.0
Ninja #597,It's time.,Mountain,Bow,White Ninja,Pipe,Flash,Silver Chain,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/597.jpeg,[],31.6673764431705,1440.0
Ninja #83,It's time.,Blue,Ball And Chain,Green Ninja,Laser Eyes,Cowboy Hat,Red Glow,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/83.jpeg,[],31.666992898756646,1441.0
Ninja #5493,It's time.,Sand,Staff,Blue Ninja,Cigarette,Cross,Nan,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/5493.jpeg,[],31.666349579833632,1442.0
Ninja #5352,It's time.,Lilac,Red Sword,Green Ninja,Joint,Blue Flame,Cross Necklace,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/5352.jpeg,[],31.666267274173894,1443.0
Ninja #3181,It's time.,Mint,Red Sword,Pink Ninja,Joint,Headphones,Cross Necklace,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/3181.jpeg,[],31.666108951879387,1444.0
Ninja #1393,It's time.,Blue,Ball And Chain,Gold Ninja,Cigarette,Army Helmet,Red Glow,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/1393.jpeg,[],31.665823496820998,1445.0
Ninja #2504,It's time.,Lilac,Scythe,Black Ninja,Candy Cane,Cowboy Hat,Cross Necklace,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/2504.jpeg,[],31.665516016439618,1446.0
Ninja #2009,It's time.,Blue,Red Sword,Brown Ninja,Candy Cane,Headphones,Green Glow,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/2009.jpeg,[],31.664857734476158,1447.0
Ninja #2454,It's time.,Red,Ball And Chain,Blue Ninja,Laser Eyes,Arrow,Gold Chain,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/2454.jpeg,[],31.664782492121407,1448.0
Ninja #3940,It's time.,Sand,Bow,Blue Ninja,Laser Eyes,Arrow,Cross Necklace,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/3940.jpeg,[],31.664762172289603,1449.0
Ninja #4493,It's time.,Mountain,Gold Sword,White Ninja,Jason Mask,Flame,Silver Chain,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/4493.jpeg,[],31.664606902976015,1450.0
Ninja #5112,It's time.,Glow,Gold Sword,Blue Ninja,Cigarette,Flash,Red Glow,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/5112.jpeg,[],31.664508182415016,1451.0
Ninja #5494,It's time.,Scripture,Red Sword,White Ninja,Joint,Brains,Silver Chain,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/5494.jpeg,[],31.66380675422651,1452.0
Ninja #1487,It's time.,Blue,Gold Bow,Purple Ninja,Ghost Mask,Flash,Green Glow,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/1487.jpeg,[],31.66369650704676,1453.0
Ninja #644,It's time.,Yellow,Shuriken,Pink Ninja,Laser Eyes,Cat Earphones,Cross Necklace,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/644.jpeg,[],31.663551896255694,1454.0
Ninja #4527,It's time.,Scripture,Nan,Gold Ninja,Cigarette,Thorn Crown,Silver Chain,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/4527.jpeg,[],31.66306607822391,1455.0
Ninja #1058,It's time.,Lilac,Ball And Chain,Blue Ninja,Joint,Samurai Hat,Nan,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/1058.jpeg,[],31.66280295687659,1456.0
Ninja #90,It's time.,Red,Staff,Gold Ninja,Pipe,Arrow,Gold Chain,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/90.jpeg,[],31.66217977444215,1457.0
Ninja #2160,It's time.,Red,Gold Sword,Blue Ninja,Pipe,Crown,Green Glow,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/2160.jpeg,[],31.66210227407715,1458.0
Ninja #1223,It's time.,Sand,Gold Sword,Grey Ninja,Candy Cane,Flash,Cross Necklace,ipfs://QmVqDbPw7b9q2M5wrwc8RrkFzXdtuzvNeHXN5H5Z86q1Yx/1223.jpeg,[],31.661472763391927,1459.0
